word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
boolean,0,97,135,80,20,0.0505208333333333,0.125,0.0416666666666666,0.0185185185185185
add,0,183,135,46,24,0.0953125,0.125,0.0239583333333333,0.0222222222222222
Date,0,237,135,48,19,0.1234375,0.125,0.025,0.0175925925925925
date,0,291,135,48,20,0.1515625,0.125,0.025,0.0185185185185185
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
dates.contains,0,118,162,165,24,0.0614583333333333,0.15,0.0859375,0.0222222222222222
date,1,291,162,48,20,0.1515625,0.15,0.025,0.0185185185185185
return,0,109,189,68,19,0.0567708333333333,0.175,0.0354166666666666,0.0175925925925925
false,0,183,189,67,23,0.0953125,0.175,0.0348958333333333,0.0212962962962962
boolean,1,65,243,79,20,0.0338541666666666,0.225,0.0411458333333333,0.0185185185185185
added,0,151,243,58,20,0.0786458333333333,0.225,0.0302083333333333,0.0185185185185185
=,0,215,243,16,13,0.1119791666666666,0.225,0.0083333333333333,0.012037037037037
false,1,237,243,67,23,0.1234375,0.225,0.0348958333333333,0.0212962962962962
for,0,64,270,37,20,0.0333333333333333,0.25,0.0192708333333333,0.0185185185185185
int,0,129,270,37,20,0.0671875,0.25,0.0192708333333333,0.0185185185185185
i,0,172,270,16,20,0.0895833333333333,0.25,0.0083333333333333,0.0185185185185185
=,1,194,270,16,13,0.1010416666666666,0.25,0.0083333333333333,0.012037037037037
0,0,216,270,23,22,0.1125,0.25,0.0119791666666666,0.0203703703703703
i,1,248,270,16,20,0.1291666666666666,0.25,0.0083333333333333,0.0185185185185185
<,0,269,270,16,16,0.1401041666666666,0.25,0.0083333333333333,0.0148148148148148
dates.size,0,291,270,133,24,0.1515625,0.25,0.0692708333333333,0.0222222222222222
&&,0,431,270,28,19,0.2244791666666666,0.25,0.0145833333333333,0.0175925925925925
!added,0,467,270,75,23,0.2432291666666666,0.25,0.0390625,0.0212962962962962
i++,0,550,270,38,20,0.2864583333333333,0.25,0.0197916666666666,0.0185185185185185
Date,1,108,297,48,19,0.05625,0.275,0.025,0.0175925925925925
nextDate,0,162,297,91,19,0.084375,0.275,0.0473958333333333,0.0175925925925925
=,2,259,297,16,13,0.1348958333333333,0.275,0.0083333333333333,0.012037037037037
dates.get,0,280,297,111,24,0.1458333333333333,0.275,0.0578125,0.0222222222222222
i,2,399,297,16,20,0.2078125,0.275,0.0083333333333333,0.0185185185185185
if,1,108,351,26,20,0.05625,0.325,0.0135416666666666,0.0185185185185185
date.before,0,162,351,132,24,0.084375,0.325,0.06875,0.0222222222222222
nextDate,1,302,351,91,19,0.1572916666666666,0.325,0.0473958333333333,0.0175925925925925
dates.add,0,151,378,110,24,0.0786458333333333,0.35,0.0572916666666666,0.0222222222222222
"i, ",0,270,378,22,23,0.140625,0.35,0.0114583333333333,0.0212962962962962
date,2,302,378,48,20,0.1572916666666666,0.35,0.025,0.0185185185185185
added,1,151,405,58,20,0.0786458333333333,0.375,0.0302083333333333,0.0185185185185185
=,3,215,405,16,13,0.1119791666666666,0.375,0.0083333333333333,0.012037037037037
true,0,238,405,55,22,0.1239583333333333,0.375,0.0286458333333333,0.0203703703703703
if,2,64,486,27,20,0.0333333333333333,0.45,0.0140625,0.0185185185185185
!added,1,122,486,66,20,0.0635416666666666,0.45,0.034375,0.0185185185185185
dates.add,1,108,513,110,24,0.05625,0.475,0.0572916666666666,0.0222222222222222
date,3,226,513,49,20,0.1177083333333333,0.475,0.0255208333333333,0.0185185185185185
return,1,65,568,69,19,0.0338541666666666,0.5259259259259259,0.0359375,0.0175925925925925
true,1,140,568,56,22,0.0729166666666666,0.5259259259259259,0.0291666666666666,0.0203703703703703
