word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
loadSystems,0,163,135,142,24,0.0848958333333333,0.125,0.0739583333333333,0.0222222222222222
int,0,64,162,37,20,0.0333333333333333,0.15,0.0192708333333333,0.0185185185185185
i,0,108,162,22,23,0.05625,0.15,0.0114583333333333,0.0212962962962962
num,0,140,162,45,20,0.0729166666666666,0.15,0.0234375,0.0185185185185185
SystemItem,0,64,189,114,23,0.0333333333333333,0.175,0.059375,0.0212962962962962
dtls,0,183,189,56,23,0.0953125,0.175,0.0291666666666666,0.0212962962962962
systemCombo.removeAllItems,0,65,216,315,24,0.0338541666666666,0.2,0.1640625,0.0222222222222222
systemCombo.addItem,0,65,243,218,24,0.0338541666666666,0.225,0.1135416666666666,0.0222222222222222
"""<All>""",0,292,243,78,20,0.1520833333333333,0.225,0.040625,0.0185185185185185
dbLink,0,64,297,70,20,0.0333333333333333,0.275,0.0364583333333333,0.0185185185185185
=,0,140,297,16,13,0.0729166666666666,0.275,0.0083333333333333,0.012037037037037
true,0,162,297,56,22,0.084375,0.275,0.0291666666666666,0.0203703703703703
try,0,65,324,37,23,0.0338541666666666,0.3,0.0192708333333333,0.0212962962962962
systems,0,108,351,80,23,0.05625,0.325,0.0416666666666666,0.0212962962962962
=,1,194,351,16,13,0.1010416666666666,0.325,0.0083333333333333,0.012037037037037
copyBookInterface.getSystems,0,216,351,336,24,0.1125,0.325,0.175,0.0222222222222222
catch,0,86,378,58,20,0.0447916666666666,0.35,0.0302083333333333,0.0185185185185185
Exception,0,173,378,101,24,0.0901041666666666,0.35,0.0526041666666666,0.0222222222222222
ex,0,280,378,27,17,0.1458333333333333,0.35,0.0140625,0.0157407407407407
if,0,108,405,26,20,0.05625,0.375,0.0135416666666666,0.0185185185185185
message,0,161,405,81,21,0.0838541666666666,0.375,0.0421875,0.0194444444444444
!=,0,251,405,24,19,0.1307291666666666,0.375,0.0125,0.0175925925925925
null,0,281,405,48,20,0.1463541666666666,0.375,0.025,0.0185185185185185
message.setText,0,151,432,175,24,0.0786458333333333,0.4,0.0911458333333333,0.0222222222222222
ex.getMessage,0,334,432,165,24,0.1739583333333333,0.4,0.0859375,0.0222222222222222
message.setCaretPosition,0,151,459,272,24,0.0786458333333333,0.425,0.1416666666666666,0.0222222222222222
1,0,432,459,16,19,0.225,0.425,0.0083333333333333,0.0175925925925925
ex.printStackTrace,0,108,513,228,24,0.05625,0.475,0.11875,0.0222222222222222
systems,1,108,540,80,23,0.05625,0.5,0.0416666666666666,0.0212962962962962
=,2,194,540,16,13,0.1010416666666666,0.5,0.0083333333333333,0.012037037037037
new,0,216,540,38,17,0.1125,0.5,0.0197916666666666,0.0157407407407407
ArrayList<,0,258,540,114,24,0.134375,0.5,0.059375,0.0222222222222222
SystemItem,1,377,540,114,23,0.1963541666666666,0.5,0.059375,0.0212962962962962
>,0,496,540,46,24,0.2583333333333333,0.5,0.0239583333333333,0.0222222222222222
dbLink,1,108,567,69,20,0.05625,0.525,0.0359375,0.0185185185185185
=,3,183,567,16,13,0.0953125,0.525,0.0083333333333333,0.012037037037037
false,0,205,567,67,23,0.1067708333333333,0.525,0.0348958333333333,0.0212962962962962
num,1,65,621,37,17,0.0338541666666666,0.575,0.0192708333333333,0.0157407407407407
=,4,107,621,16,13,0.0557291666666666,0.575,0.0083333333333333,0.012037037037037
systems.size,0,130,621,163,24,0.0677083333333333,0.575,0.0848958333333333,0.0222222222222222
for,0,64,675,37,20,0.0333333333333333,0.625,0.0192708333333333,0.0185185185185185
i,1,129,675,16,20,0.0671875,0.625,0.0083333333333333,0.0185185185185185
=,5,151,675,16,13,0.0786458333333333,0.625,0.0083333333333333,0.012037037037037
0,0,172,675,24,22,0.0895833333333333,0.625,0.0125,0.0203703703703703
i,2,205,675,16,20,0.1067708333333333,0.625,0.0083333333333333,0.0185185185185185
<,0,226,675,16,16,0.1177083333333333,0.625,0.0083333333333333,0.0148148148148148
num,2,248,675,45,20,0.1291666666666666,0.625,0.0234375,0.0185185185185185
i++,0,302,675,37,20,0.1572916666666666,0.625,0.0192708333333333,0.0185185185185185
dtls,1,108,702,47,20,0.05625,0.65,0.0244791666666666,0.0185185185185185
=,6,161,702,16,13,0.0838541666666666,0.65,0.0083333333333333,0.012037037037037
systems.get,0,184,702,131,24,0.0958333333333333,0.65,0.0682291666666666,0.0222222222222222
i,3,324,702,16,20,0.16875,0.65,0.0083333333333333,0.0185185185185185
systemCombo.addItem,1,108,729,218,24,0.05625,0.675,0.1135416666666666,0.0222222222222222
dtls.description,0,334,729,178,24,0.1739583333333333,0.675,0.0927083333333333,0.0222222222222222
