word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
JExpression,0,97,135,123,24,0.0505208333333333,0.125,0.0640625,0.0222222222222222
genIdents,0,226,135,122,24,0.1177083333333333,0.125,0.0635416666666666,0.0222222222222222
TokenReference,0,64,162,157,20,0.0333333333333333,0.15,0.0817708333333333,0.0185185185185185
ref,0,227,162,37,20,0.1182291666666666,0.15,0.0192708333333333,0.0185185185185185
=,0,269,162,16,13,0.1401041666666666,0.15,0.0083333333333333,0.012037037037037
getTokenReference,0,291,162,218,24,0.1515625,0.15,0.1135416666666666,0.0222222222222222
Jexpression[],0,65,189,142,24,0.0338541666666666,0.175,0.0739583333333333,0.0222222222222222
init,0,216,189,47,20,0.1125,0.175,0.0244791666666666,0.0185185185185185
=,1,269,189,16,13,0.1401041666666666,0.175,0.0083333333333333,0.012037037037037
new,0,292,189,37,17,0.1520833333333333,0.175,0.0192708333333333,0.0157407407407407
JExpression,1,335,189,133,24,0.1744791666666666,0.175,0.0692708333333333,0.0222222222222222
codes.,0,475,189,66,20,0.2473958333333333,0.175,0.034375,0.0185185185185185
length,0,541,189,68,24,0.2817708333333333,0.175,0.0354166666666666,0.0222222222222222
for,0,64,243,37,20,0.0333333333333333,0.225,0.0192708333333333,0.0185185185185185
int,0,129,243,37,20,0.0671875,0.225,0.0192708333333333,0.0185185185185185
i,0,172,243,16,20,0.0895833333333333,0.225,0.0083333333333333,0.0185185185185185
=,2,194,243,16,13,0.1010416666666666,0.225,0.0083333333333333,0.012037037037037
0,0,216,243,23,22,0.1125,0.225,0.0119791666666666,0.0203703703703703
i,1,248,243,16,20,0.1291666666666666,0.225,0.0083333333333333,0.0185185185185185
<,0,269,243,16,16,0.1401041666666666,0.225,0.0083333333333333,0.0148148148148148
codes,0,291,243,67,20,0.1515625,0.225,0.0348958333333333,0.0185185185185185
length,1,357,243,77,24,0.1859375,0.225,0.0401041666666666,0.0222222222222222
i++,0,442,243,38,20,0.2302083333333333,0.225,0.0197916666666666,0.0185185185185185
init,1,108,270,57,24,0.05625,0.25,0.0296875,0.0222222222222222
i,2,172,270,16,20,0.0895833333333333,0.25,0.0083333333333333,0.0185185185185185
=,3,215,270,16,13,0.1119791666666666,0.25,0.0083333333333333,0.012037037037037
new,1,238,270,37,17,0.1239583333333333,0.25,0.0192708333333333,0.0157407407407407
JStringLiteral,0,281,270,164,24,0.1463541666666666,0.25,0.0854166666666666,0.0222222222222222
ref,1,454,270,44,23,0.2364583333333333,0.25,0.0229166666666666,0.0212962962962962
codes,1,507,270,69,24,0.2640625,0.25,0.0359375,0.0222222222222222
i,3,583,270,16,20,0.3036458333333333,0.25,0.0083333333333333,0.0185185185185185
.getIdent,0,606,270,131,24,0.315625,0.25,0.0682291666666666,0.0222222222222222
return,0,65,324,69,19,0.0338541666666666,0.3,0.0359375,0.0175925925925925
VKUtils.createArray,0,139,324,220,24,0.0723958333333333,0.3,0.1145833333333333,0.0222222222222222
ref,2,368,324,43,23,0.1916666666666666,0.3,0.0223958333333333,0.0212962962962962
CStdType.String,0,421,324,174,24,0.2192708333333333,0.3,0.090625,0.0222222222222222
init,2,604,324,48,20,0.3145833333333333,0.3,0.025,0.0185185185185185
