word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
messageSent,0,150,135,133,24,0.078125,0.125,0.0692708333333333,0.0222222222222222
MessageEvent,0,291,135,134,23,0.1515625,0.125,0.0697916666666666,0.0212962962962962
e,0,432,135,15,17,0.225,0.125,0.0078125,0.0157407407407407
String,0,64,162,70,24,0.0333333333333333,0.15,0.0364583333333333,0.0222222222222222
str,0,141,162,36,19,0.0734375,0.15,0.01875,0.0175925925925925
=,0,183,162,16,13,0.0953125,0.15,0.0083333333333333,0.012037037037037
e.getMessage,0,205,162,164,24,0.1067708333333333,0.15,0.0854166666666666,0.0222222222222222
if,0,64,216,27,20,0.0333333333333333,0.2,0.0140625,0.0185185185185185
str,1,119,216,142,24,0.0619791666666666,0.2,0.0739583333333333,0.0222222222222222
str.endsWith,0,119,216,142,24,0.0619791666666666,0.2,0.0739583333333333,0.0222222222222222
DIR_ADDED,0,270,216,102,21,0.140625,0.2,0.053125,0.0194444444444444
str,2,108,243,36,19,0.05625,0.225,0.01875,0.0175925925925925
=,1,151,243,16,13,0.0786458333333333,0.225,0.0083333333333333,0.012037037037037
str.substring,0,173,243,153,24,0.0901041666666666,0.225,0.0796875,0.0222222222222222
DIRECTORY,0,335,243,109,19,0.1744791666666666,0.225,0.0567708333333333,0.0175925925925925
length,0,444,243,97,24,0.23125,0.225,0.0505208333333333,0.0222222222222222
str.indexOf,0,551,243,132,24,0.2869791666666667,0.225,0.06875,0.0222222222222222
DIR_ADDED,1,691,243,102,21,0.3598958333333333,0.225,0.053125,0.0194444444444444
)).trim,0,824,243,85,24,0.4291666666666666,0.225,0.0442708333333333,0.0222222222222222
createCvsFiles,0,108,270,164,24,0.05625,0.25,0.0854166666666666,0.0222222222222222
str,3,281,270,36,19,0.1463541666666666,0.25,0.01875,0.0175925925925925
super.messageSent,0,65,324,196,24,0.0338541666666666,0.3,0.1020833333333333,0.0222222222222222
e,1,270,324,15,17,0.140625,0.3,0.0078125,0.0157407407407407
