word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
List,0,109,135,46,20,0.0567708333333333,0.125,0.0239583333333333,0.0185185185185185
getStatusFlagFields,0,162,135,229,24,0.084375,0.125,0.1192708333333333,0.0222222222222222
List,1,65,162,46,20,0.0338541666666666,0.15,0.0239583333333333,0.0185185185185185
list,0,120,162,46,20,0.0625,0.15,0.0239583333333333,0.0185185185185185
=,0,172,162,16,13,0.0895833333333333,0.15,0.0083333333333333,0.012037037037037
new,0,194,162,38,17,0.1010416666666666,0.15,0.0197916666666666,0.0157407407407407
ArrayList,0,236,162,133,24,0.1229166666666666,0.15,0.0692708333333333,0.0222222222222222
String,0,64,189,70,24,0.0333333333333333,0.175,0.0364583333333333,0.0222222222222222
statusFlagPath,0,141,189,155,24,0.0734375,0.175,0.0807291666666666,0.0222222222222222
=,1,302,189,16,13,0.1572916666666666,0.175,0.0083333333333333,0.012037037037037
"""/collectionConfigRecord/statusFlags/statusFlag/status""",0,325,189,605,24,0.1692708333333333,0.175,0.3151041666666667,0.0222222222222222
for,0,64,216,37,20,0.0333333333333333,0.2,0.0192708333333333,0.0185185185185185
Iterator,0,130,216,90,19,0.0677083333333333,0.2,0.046875,0.0175925925925925
i,0,226,216,16,20,0.1177083333333333,0.2,0.0083333333333333,0.0185185185185185
=,2,248,216,16,13,0.1291666666666666,0.2,0.0083333333333333,0.012037037037037
im,0,270,216,24,24,0.140625,0.2,0.0125,0.0222222222222222
getInputFields(),0,294,216,192,24,0.153125,0.2,0.1,0.0222222222222222
iterator,0,486,216,96,24,0.253125,0.2,0.05,0.0222222222222222
i,1,615,216,15,24,0.3203125,0.2,0.0078125,0.0222222222222222
hasNext,0,630,216,103,24,0.328125,0.2,0.05364583333333333,0.0222222222222222
InputField,0,108,243,112,24,0.05625,0.225,0.0583333333333333,0.0222222222222222
field,0,226,243,59,20,0.1177083333333333,0.225,0.0307291666666666,0.0185185185185185
=,3,291,243,16,13,0.1515625,0.225,0.0083333333333333,0.012037037037037
InputField,1,335,243,112,24,0.1744791666666666,0.225,0.0583333333333333,0.0222222222222222
i,2,475,243,16,24,0.24739583333333334,0.225,0.008333333333333333,0.0222222222222222
next,0,491,243,66,24,0.2557291666666667,0.225,0.034375,0.0222222222222222
//,0,108,270,26,20,0.05625,0.25,0.0135416666666666,0.0185185185185185
prtln,0,140,270,58,24,0.0729166666666666,0.25,0.0302083333333333,0.0222222222222222
field,0,226,270,63,24,0.11770833333333333,0.25,0.0328125,0.0222222222222222
toString,0,289,270,101,24,0.15052083333333333,0.25,0.05260416666666667,0.0222222222222222
if,0,108,297,26,20,0.05625,0.275,0.0135416666666666,0.0185185185185185
field,1,162,297,59,24,0.084375,0.275,0.030729166666666665,0.0222222222222222
getNormalizedXPath,0,221,297,212,24,0.11510416666666666,0.275,0.11041666666666666,0.0222222222222222
startswith,0,446,297,117,24,0.23229166666666667,0.275,0.0609375,0.0222222222222222
statusFlagPath,1,584,297,154,24,0.3041666666666666,0.275,0.0802083333333333,0.0222222222222222
list,1,152,324,50,24,0.07916666666666666,0.3,0.026041666666666668,0.0222222222222222
add,0,202,324,37,24,0.10520833333333333,0.3,0.019270833333333334,0.0222222222222222
field,2,259,324,58,20,0.1348958333333333,0.3,0.0302083333333333,0.0185185185185185
return,0,65,405,69,19,0.0338541666666666,0.375,0.0359375,0.0175925925925925
list,2,141,405,55,23,0.0734375,0.375,0.0286458333333333,0.0212962962962962
