word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
String,0,107,135,70,24,0.0557291666666666,0.125,0.0364583333333333,0.0222222222222222
readResponse,0,184,135,142,24,0.0958333333333333,0.125,0.0739583333333333,0.0222222222222222
InputStream,0,335,135,123,23,0.1744791666666666,0.125,0.0640625,0.0212962962962962
stream,0,465,135,69,19,0.2421875,0.125,0.0359375,0.0175925925925925
BufferedReader,0,65,162,155,20,0.0338541666666666,0.15,0.0807291666666666,0.0185185185185185
input,0,226,162,58,24,0.1177083333333333,0.15,0.0302083333333333,0.0222222222222222
=,0,291,162,16,13,0.1515625,0.15,0.0083333333333333,0.012037037037037
new,0,313,162,38,17,0.1630208333333333,0.15,0.0197916666666666,0.0157407407407407
BufferedReader,1,356,162,165,24,0.1854166666666666,0.15,0.0859375,0.0222222222222222
new,1,529,162,38,17,0.2755208333333333,0.15,0.0197916666666666,0.0157407407407407
InputStreamReader,0,573,162,196,24,0.2984375,0.15,0.1020833333333333,0.0222222222222222
stream,1,778,162,69,19,0.4052083333333333,0.15,0.0359375,0.0175925925925925
StringBuffer,0,64,189,134,24,0.0333333333333333,0.175,0.0697916666666666,0.0222222222222222
sb,0,206,189,25,20,0.1072916666666666,0.175,0.0130208333333333,0.0185185185185185
=,1,237,189,16,13,0.1234375,0.175,0.0083333333333333,0.012037037037037
new,2,259,189,38,17,0.1348958333333333,0.175,0.0197916666666666,0.0157407407407407
StringBuffer,1,302,189,164,24,0.1572916666666666,0.175,0.0854166666666666,0.0222222222222222
String,1,64,216,70,24,0.0333333333333333,0.2,0.0364583333333333,0.0222222222222222
line,0,141,216,55,23,0.0734375,0.2,0.0286458333333333,0.0212962962962962
try,0,65,243,37,23,0.0338541666666666,0.225,0.0192708333333333,0.0212962962962962
line,1,109,270,47,20,0.0567708333333333,0.25,0.0244791666666666,0.0185185185185185
=,2,161,270,16,13,0.0838541666666666,0.25,0.0083333333333333,0.012037037037037
input,1,183,270,186,24,0.0953125,0.25,0.096875,0.0222222222222222
input,2,183,270,66,24,0.0953125,0.25,0.034375,0.0222222222222222
