word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
String,0,96,135,70,24,0.05,0.125,0.0364583333333333,0.0222222222222222
getMessage,0,172,135,133,24,0.0895833333333333,0.125,0.0692708333333333,0.0222222222222222
StringBuffer,0,64,162,134,24,0.0333333333333333,0.15,0.0697916666666666,0.0222222222222222
sb,0,206,162,25,20,0.1072916666666666,0.15,0.0130208333333333,0.0185185185185185
=,0,237,162,16,13,0.1234375,0.15,0.0083333333333333,0.012037037037037
new,0,259,162,38,17,0.1348958333333333,0.15,0.0197916666666666,0.0157407407407407
StringBuffer,1,302,162,164,24,0.1572916666666666,0.15,0.0854166666666666,0.0222222222222222
if,0,64,216,27,20,0.0333333333333333,0.2,0.0140625,0.0185185185185185
messages,0,118,216,91,21,0.0614583333333333,0.2,0.0473958333333333,0.0194444444444444
!=,0,219,216,23,19,0.1140625,0.2,0.0119791666666666,0.0175925925925925
null,0,248,216,48,20,0.1291666666666666,0.2,0.025,0.0185185185185185
for,0,108,243,36,20,0.05625,0.225,0.01875,0.0185185185185185
int,0,172,243,37,20,0.0895833333333333,0.225,0.0192708333333333,0.0185185185185185
i,0,216,243,16,20,0.1125,0.225,0.0083333333333333,0.0185185185185185
=,1,237,243,16,13,0.1234375,0.225,0.0083333333333333,0.012037037037037
0,0,259,243,23,22,0.1348958333333333,0.225,0.0119791666666666,0.0203703703703703
i,1,291,243,16,20,0.1515625,0.225,0.0083333333333333,0.0185185185185185
<,0,313,243,16,15,0.1630208333333333,0.225,0.0083333333333333,0.0138888888888888
messages,1,334,243,108,24,0.17395833333333333,0.225,0.05625,0.0222222222222222
size,0,442,243,54,24,0.23020833333333332,0.225,0.028125,0.0222222222222222
i++,0,518,243,37,20,0.2697916666666666,0.225,0.0192708333333333,0.0185185185185185
Object,0,151,270,69,24,0.0786458333333333,0.25,0.0359375,0.0222222222222222
o,0,226,270,16,17,0.1177083333333333,0.25,0.0083333333333333,0.0157407407407407
=,2,248,270,16,13,0.1291666666666666,0.25,0.0083333333333333,0.012037037037037
messages,2,269,270,93,24,0.14010416666666667,0.25,0.0484375,0.0222222222222222
elementAt,0,362,270,104,24,0.18854166666666666,0.25,0.05416666666666667,0.0222222222222222
i,2,486,270,16,20,0.253125,0.25,0.0083333333333333,0.0185185185185185
if,1,151,324,26,20,0.0786458333333333,0.3,0.0135416666666666,0.0185185185185185
o,1,205,324,16,17,0.1067708333333333,0.3,0.0083333333333333,0.0157407407407407
=,3,230,324,23,19,0.1197916666666666,0.3,0.0119791666666666,0.0175925925925925
null,1,259,324,48,20,0.1348958333333333,0.3,0.025,0.0185185185185185
sb,1,195,351,24,24,0.1015625,0.325,0.0125,0.0222222222222222
append,0,219,351,73,24,0.1140625,0.325,0.03802083333333333,0.0222222222222222
o,2,313,351,13,24,0.16302083333333334,0.325,0.0067708333333333336,0.0222222222222222
toString,0,326,351,106,24,0.16979166666666667,0.325,0.05520833333333333,0.0222222222222222
sb,2,195,378,24,24,0.1015625,0.35,0.0125,0.0222222222222222
append,1,219,378,73,24,0.1140625,0.35,0.03802083333333333,0.0222222222222222
"""|n""",0,314,378,45,24,0.1635416666666666,0.35,0.0234375,0.0222222222222222
return,0,65,486,69,19,0.0338541666666666,0.45,0.0359375,0.0175925925925925
sb,3,141,486,28,24,0.0734375,0.45,0.014583333333333334,0.0222222222222222
toString,1,169,486,111,24,0.08802083333333334,0.45,0.0578125,0.0222222222222222
