word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,,22,135,101,24,0.011458333,0.125,0.052604167,0.022222222
String,0,,129,135,69,24,0.0671875,0.125,0.0359375,0.022222222
getTargetServiceName,0,,205,135,229,24,0.106770833,0.125,0.119270833,0.022222222
AddressingHeaders,0,,441,135,189,24,0.2296875,0.125,0.0984375,0.022222222
headers,0,,637,135,80,20,0.331770833,0.125,0.041666667,0.018518519
throws,0,,745,135,69,20,0.388020833,0.125,0.0359375,0.018518519
Exception,0,,821,135,101,24,0.427604167,0.125,0.052604167,0.022222222
To,0,,64,162,27,19,0.033333333,0.15,0.0140625,0.017592593
toURI,0,,97,162,58,19,0.050520833,0.15,0.030208333,0.017592593
=,0,,161,162,16,13,0.083854167,0.15,0.008333333,0.012037037
headers,1,,184,162,94,24,0.095833333,0.15,0.048958333,0.022222222
getTo,0,,278,162,67,24,0.144791667,0.15,0.034895833,0.022222222
if,0,,64,216,27,20,0.033333333,0.2,0.0140625,0.018518519
toURI,1,,119,216,58,19,0.061979167,0.2,0.030208333,0.017592593
==,0,,183,216,27,13,0.0953125,0.2,0.0140625,0.012037037
null,0,,216,216,48,20,0.1125,0.2,0.025,0.018518519
return,0,,87,243,68,19,0.0453125,0.225,0.035416667,0.017592593
null,1,,162,243,56,23,0.084375,0.225,0.029166667,0.021296296
String,1,,64,297,70,24,0.033333333,0.275,0.036458333,0.022222222
to,0,,140,297,27,19,0.072916667,0.275,0.0140625,0.017592593
=,1,,172,297,16,13,0.089583333,0.275,0.008333333,0.012037037
toURI,2,,194,297,67,24,0.101041667,0.275,0.034895833,0.022222222
getPath,0,,261,297,94,24,0.1359375,0.275,0.048958333,0.022222222
if,1,,64,351,27,20,0.033333333,0.325,0.0140625,0.018518519
to,1,,119,351,26,19,0.061979167,0.325,0.013541667,0.017592593
==,1,,151,351,26,13,0.078645833,0.325,0.013541667,0.012037037
null,2,,184,351,37,20,0.095833333,0.325,0.019270833,0.018518519
return,1,,87,378,68,19,0.0453125,0.35,0.035416667,0.017592593
null,3,,162,378,56,23,0.084375,0.35,0.029166667,0.021296296
//,200,,64,432,27,20,0.033333333,0.4,0.0140625,0.018518519
set,200,,97,432,36,19,0.050520833,0.4,0.01875,0.017592593
the,200,,140,432,37,20,0.072916667,0.4,0.019270833,0.018518519
target,200,,184,432,68,23,0.095833333,0.4,0.035416667,0.021296296
service,200,,260,432,79,20,0.135416667,0.4,0.041145833,0.018518519
return,2,,65,459,69,19,0.033854167,0.425,0.0359375,0.017592593
to,2,,162,459,24,24,0.084375,0.425,0.0125,0.022222222
substring,0,,186,459,107,24,0.096875,0.425,0.055729167,0.022222222
to,3,,346,459,19,24,0.180208333,0.425,0.009895833,0.022222222
lastIndexOf,0,,365,459,104,24,0.190104167,0.425,0.054166667,0.022222222
'/',0,,489,459,31,20,0.2546875,0.425,0.016145833,0.018518519
+,0,,550,459,16,16,0.286458333,0.425,0.008333333,0.014814815
1,0,,572,459,16,19,0.297916667,0.425,0.008333333,0.017592593
