word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Command,0,,96,135,81,20,0.05,0.125,0.0421875,0.018518519
getBackCommand2,0,,183,135,187,24,0.0953125,0.125,0.097395833,0.022222222
if,0,,64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
backCommand2,0,,119,162,134,20,0.061979167,0.15,0.069791667,0.018518519
==,0,,259,162,26,13,0.134895833,0.15,0.013541667,0.012037037
null,0,,292,162,47,20,0.152083333,0.15,0.024479167,0.018518519
//GEN_END:,200,,368,162,119,24,0.191666667,0.15,0.061979167,0.022222222
|,200,,500,162,9,24,0.260416667,0.15,0.0046875,0.022222222
233-getter,200,,518,162,112,23,0.269791667,0.15,0.058333333,0.021296296
|,200,,640,162,9,24,0.333333333,0.15,0.0046875,0.022222222
0,200,,658,162,16,19,0.342708333,0.15,0.008333333,0.017592593
|,200,,684,162,8,24,0.35625,0.15,0.004166667,0.022222222
233-preInit,200,,702,162,122,24,0.365625,0.15,0.063541667,0.022222222
//,201,,108,189,26,20,0.05625,0.175,0.013541667,0.018518519
write,201,,139,189,60,20,0.072395833,0.175,0.03125,0.018518519
pre-init,201,,205,189,90,24,0.106770833,0.175,0.046875,0.022222222
user,201,,302,189,48,17,0.157291667,0.175,0.025,0.015740741
code,201,,356,189,48,20,0.185416667,0.175,0.025,0.018518519
here,201,,410,189,48,20,0.213541667,0.175,0.025,0.018518519
backCommand2,1,,108,216,134,20,0.05625,0.2,0.069791667,0.018518519
=,0,,248,216,16,13,0.129166667,0.2,0.008333333,0.012037037
new,0,,270,216,38,17,0.140625,0.2,0.019791667,0.015740741
Command,1,,313,216,89,24,0.163020833,0.2,0.046354167,0.022222222
"""OK""",0,,411,216,54,23,0.2140625,0.2,0.028125,0.021296296
Command,2,,475,216,82,23,0.247395833,0.2,0.042708333,0.021296296
BACK,0,,557,216,47,23,0.290104167,0.2,0.024479167,0.021296296
0,0,,626,216,16,19,0.326041667,0.2,0.008333333,0.017592593
//GEN-LINE:|,202,,650,216,140,24,0.338541667,0.2,0.072916667,0.022222222
|,202,,802,216,9,24,0.417708333,0.2,0.0046875,0.022222222
233-getter,202,,820,216,113,23,0.427083333,0.2,0.058854167,0.021296296
|,202,,943,216,9,24,0.491145833,0.2,0.0046875,0.022222222
1,202,,961,216,16,19,0.500520833,0.2,0.008333333,0.017592593
|,202,,986,216,9,24,0.513541667,0.2,0.0046875,0.022222222
233-postInit,202,,1004,216,134,24,0.522916667,0.2,0.069791667,0.022222222
//,203,,108,243,26,20,0.05625,0.225,0.013541667,0.018518519
write,203,,139,243,60,20,0.072395833,0.225,0.03125,0.018518519
post-init,203,,205,243,101,24,0.106770833,0.225,0.052604167,0.022222222
user,203,,313,243,47,17,0.163020833,0.225,0.024479167,0.015740741
code,203,,367,243,48,20,0.191145833,0.225,0.025,0.018518519
here,203,,421,243,48,20,0.219270833,0.225,0.025,0.018518519
//GEN-BEGIN:|,204,,65,270,141,24,0.033854167,0.25,0.0734375,0.022222222
|,204,,219,270,9,24,0.1140625,0.25,0.0046875,0.022222222
233-getter,204,,237,270,113,23,0.1234375,0.25,0.058854167,0.021296296
|,204,,359,270,9,24,0.186979167,0.25,0.0046875,0.022222222
2,204,,378,270,15,19,0.196875,0.25,0.0078125,0.017592593
|,204,,403,270,8,24,0.209895833,0.25,0.004166667,0.022222222
return,0,,65,297,69,19,0.033854167,0.275,0.0359375,0.017592593
backCommand2,2,,140,297,142,23,0.072916667,0.275,0.073958333,0.021296296
