word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
String,0,107,135,70,24,0.055729167,0.125,0.036458333,0.022222222
joinTableRender,0,183,135,176,24,0.0953125,0.125,0.091666667,0.022222222
Table,0,366,135,60,20,0.190625,0.125,0.03125,0.018518519
from,0,432,135,55,23,0.225,0.125,0.028645833,0.021296296
Association,0,495,135,125,20,0.2578125,0.125,0.065104167,0.018518519
association,0,626,135,123,20,0.326041667,0.125,0.0640625,0.018518519
int,0,64,162,37,20,0.033333333,0.15,0.019270833,0.018518519
n,0,108,162,15,17,0.05625,0.15,0.0078125,0.015740741
=,0,129,162,16,13,0.0671875,0.15,0.008333333,0.012037037
0,0,151,162,23,22,0.078645833,0.15,0.011979167,0.02037037
for,0,64,216,37,20,0.033333333,0.2,0.019270833,0.018518519
Association,1,128,216,124,20,0.066666667,0.2,0.064583333,0.018518519
a:,0,259,216,23,17,0.134895833,0.2,0.011979167,0.015740741
from.associations,0,291,216,188,20,0.1515625,0.2,0.097916667,0.018518519
if,0,108,243,26,20,0.05625,0.225,0.013541667,0.018518519
a.destination,0,162,243,144,20,0.084375,0.225,0.075,0.018518519
==,0,313,243,26,13,0.163020833,0.225,0.013541667,0.012037037
association.destination,0,345,243,253,20,0.1796875,0.225,0.131770833,0.018518519
++n,0,151,272,45,21,0.078645833,0.251851852,0.0234375,0.019444444
return,0,65,351,69,19,0.033854167,0.325,0.0359375,0.017592593
datamodel.getDisplayName,0,140,351,273,24,0.072916667,0.325,0.1421875,0.022222222
association.destination,1,421,351,253,20,0.219270833,0.325,0.131770833,0.018518519
+,0,701,351,16,16,0.365104167,0.325,0.008333333,0.014814815
n,1,745,351,15,17,0.388020833,0.325,0.0078125,0.015740741
>,0,766,351,16,16,0.398958333,0.325,0.008333333,0.014814815
"1?""",0,788,351,36,20,0.410416667,0.325,0.01875,0.018518519
on,0,831,351,26,17,0.4328125,0.325,0.013541667,0.015740741
"""",0,865,351,13,13,0.450520833,0.325,0.006770833,0.012037037
+,1,885,351,16,16,0.4609375,0.325,0.008333333,0.014814815
"association.getName():""""",0,21,378,263,24,0.0109375,0.35,0.136979167,0.022222222
