word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
boolean,0,,"['function', 'type', 'name']",97,135,80,20,0.050520833,0.125,0.041666667,0.018518519
equals,0,,"['function', 'name']",183,135,78,24,0.0953125,0.125,0.040625,0.022222222
Object,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",269,135,69,24,0.140104167,0.125,0.0359375,0.022222222
obj,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",345,135,35,24,0.1796875,0.125,0.018229167,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
obj,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",118,162,35,24,0.061458333,0.15,0.018229167,0.022222222
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",161,162,27,13,0.083854167,0.15,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",194,162,48,20,0.101041667,0.15,0.025,0.018518519
||,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",251,162,19,24,0.130729167,0.15,0.009895833,0.022222222
obj,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",302,162,35,24,0.157291667,0.15,0.018229167,0.022222222
getClass,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",338,162,118,24,0.176041667,0.15,0.061458333,0.022222222
!=,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",467,162,24,19,0.243229167,0.15,0.0125,0.017592593
getClass,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name']",496,162,111,24,0.258333333,0.15,0.0578125,0.022222222
return,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,189,68,19,0.056770833,0.175,0.035416667,0.017592593
FALSE,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",183,189,67,23,0.0953125,0.175,0.034895833,0.021296296
CSSConditionalSelectorImpl,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",64,243,286,24,0.033333333,0.225,0.148958333,0.022222222
s,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",357,243,14,17,0.1859375,0.225,0.007291667,0.015740741
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",377,243,16,13,0.196354167,0.225,0.008333333,0.012037037
CSSConditionalSelectorImpl,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']",421,243,286,24,0.219270833,0.225,0.148958333,0.022222222
obj,3,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']",734,243,45,24,0.382291667,0.225,0.0234375,0.022222222
return,1,,"['function', 'block', 'block_content', 'return']",65,270,69,19,0.033854167,0.25,0.0359375,0.017592593
s,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",162,270,11,24,0.084375,0.25,0.005729167,0.022222222
simpleSelector,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",173,270,159,24,0.090104167,0.25,0.0828125,0.022222222
equals,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",332,270,68,24,0.172916667,0.25,0.035416667,0.022222222
simpleSelector,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",432,270,155,24,0.225,0.25,0.080729167,0.022222222
&&,0,,"['function', 'block', 'block_content', 'return', 'expr', 'operator']",614,270,29,19,0.319791667,0.25,0.015104167,0.017592593
s,2,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",648,270,12,24,0.3375,0.25,0.00625,0.022222222
condition,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",660,270,104,24,0.34375,0.25,0.054166667,0.022222222
equals,2,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",764,270,69,24,0.397916667,0.25,0.0359375,0.022222222
condition,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",864,270,101,20,0.45,0.25,0.052604167,0.018518519
