word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,,"['function', 'type', 'specifier']",22,135,101,24,0.011458333,0.125,0.052604167,0.022222222
void,0,,"['function', 'type', 'name']",129,135,48,20,0.0671875,0.125,0.025,0.018518519
doOutput,0,,"['function', 'name']",183,135,100,24,0.0953125,0.125,0.052083333,0.022222222
int,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",291,135,37,20,0.1515625,0.125,0.019270833,0.018518519
lvl,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",336,135,43,23,0.175,0.125,0.022395833,0.021296296
Object,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",388,135,69,24,0.202083333,0.125,0.0359375,0.022222222
message,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",464,135,88,21,0.241666667,0.125,0.045833333,0.019444444
Throwable,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",561,135,102,20,0.2921875,0.125,0.053125,0.018518519
t,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",670,135,14,19,0.348958333,0.125,0.007291667,0.017592593
System,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,162,70,24,0.033333333,0.15,0.036458333,0.022222222
out,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",134,162,35,24,0.069791667,0.15,0.018229167,0.022222222
print,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",169,162,58,24,0.088020833,0.15,0.030208333,0.022222222
"""[""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",260,162,35,24,0.135416667,0.15,0.018229167,0.022222222
System,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,189,70,24,0.033333333,0.175,0.036458333,0.022222222
out,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",134,189,35,24,0.069791667,0.175,0.018229167,0.022222222
print,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",169,189,58,24,0.088020833,0.175,0.030208333,0.022222222
_taskName,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",258,189,103,22,0.134375,0.175,0.053645833,0.02037037
System,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,216,70,24,0.033333333,0.2,0.036458333,0.022222222
out,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",134,216,35,24,0.069791667,0.2,0.018229167,0.022222222
print,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",169,216,58,24,0.088020833,0.2,0.030208333,0.022222222
""" - """,100,"""","['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",260,216,13,13,0.135416667,0.2,0.006770833,0.012037037
""" - """,100,-,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",282,216,12,8,0.146875,0.2,0.00625,0.007407407
""" - """,100,"""","['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",303,216,13,13,0.1578125,0.2,0.006770833,0.012037037
System,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,236,70,24,0.033333333,0.218518519,0.036458333,0.022222222
out,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",134,236,35,24,0.069791667,0.218518519,0.018229167,0.022222222
print,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",169,236,58,24,0.088020833,0.218518519,0.030208333,0.022222222
LEVEL,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",260,236,55,24,0.135416667,0.218518519,0.028645833,0.022222222
lvl,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index', 'expr', 'name']",326,236,33,24,0.169791667,0.218518519,0.0171875,0.022222222
System,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,270,70,24,0.033333333,0.25,0.036458333,0.022222222
out,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",134,270,35,24,0.069791667,0.25,0.018229167,0.022222222
print,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",169,270,58,24,0.088020833,0.25,0.030208333,0.022222222
"""]""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",260,270,35,24,0.135416667,0.25,0.018229167,0.022222222
System,5,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,297,69,24,0.033333333,0.275,0.0359375,0.022222222
out,5,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",133,297,35,24,0.069270833,0.275,0.018229167,0.022222222
println,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",168,297,81,24,0.0875,0.275,0.0421875,0.022222222
message,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",280,297,81,21,0.145833333,0.275,0.0421875,0.019444444
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,351,35,24,0.033333333,0.325,0.018229167,0.022222222
t,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",108,351,14,19,0.05625,0.325,0.007291667,0.017592593
!=,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",132,351,24,19,0.06875,0.325,0.0125,0.017592593
